year,treatment,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,top_depth,bottom_depth,depth,n_percent,c_percent
2013,TCF,2,4,2,25-50,25,1140.091828,1.589288608,1.599725527,25,50,50,0.011266667,0.1015
2013,TCF,2,4,2,25-Oct,15,684.0550968,1.320438905,1.333500773,10,25,25,0.051166667,0.648166667
2013,TCF,2,4,2,0-10,10,456.0367312,1.005947689,1.016755819,0,10,10,0.159533333,2.1317
2013,TCF,2,4,1,25-50,25,1140.091828,1.712512952,1.754134142,25,50,50,0.019766667,0.125266667
2013,TCF,2,4,1,25-Oct,15,684.0550968,1.454237281,1.441167539,10,25,25,0.034066667,0.4553
2013,TCF,2,4,1,0-10,10,456.0367312,1.080718324,1.120607103,0,10,10,0.120066667,1.595166667
2013,TCF,2,3,2,50-end,57,2599.409368,1.589813718,0.859100543,50,107,122,0.012,0.146133333
2013,TCF,2,3,2,25-50,25,1140.091828,1.511355309,1.545712334,25,50,50,0.029933333,0.343933333
2013,TCF,2,3,2,25-Oct,15,684.0550968,1.31233735,1.316601549,10,25,25,0.075866667,0.872466667
2013,TCF,2,3,2,0-10,10,456.0367312,1.090926909,1.008905574,0,10,10,0.161833333,2.405166667
2013,TCF,2,3,1,50-end,65,2964.238753,1.669091091,0.680911414,50,115,122,0.0095,0.0602
2013,TCF,2,3,1,25-50,25,1140.091828,1.551356694,1.581437526,25,50,50,0.039533333,0.294833333
2013,TCF,2,3,1,25-Oct,15,684.0550968,1.266726535,1.266196252,10,25,25,0.078066667,1.037766667
2013,TCF,2,3,1,0-10,10,456.0367312,1.069638125,1.093284742,0,10,10,0.2518,4.03745
2013,TCF,2,2,2,50-end,65,2964.238753,1.573748519,0.762460176,50,115,122,0.0104,0.070433333
2013,TCF,2,2,2,25-50,25,1140.091828,1.48048032,1.508645144,25,50,50,0.019866667,0.14395
2013,TCF,2,2,2,25-Oct,15,684.0550968,1.126427012,1.166452825,10,25,25,0.082266667,1.1142
2013,TCF,2,2,2,0-10,10,456.0367312,0.817488888,0.402879828,0,10,10,0.300033333,4.125566667
2013,TCF,2,2,1,50-end,66,3009.842426,1.624548362,0.79886707,50,116,122,0.012366667,0.05235
2013,TCF,2,2,1,25-50,25,1140.091828,1.643590312,1.716067033,25,50,50,0.020533333,0.188766667
2013,TCF,2,2,1,25-Oct,15,684.0550968,1.26113377,1.307713376,10,25,25,0.065866667,0.874433333
2013,TCF,2,2,1,0-10,10,456.0367312,1.04682855,1.057914784,0,10,10,0.147766667,2.0941
2013,TCF,2,1,2,50-end,66,3009.842426,1.619078869,0.893453417,50,116,122,0.004433333,0.0412
2013,TCF,2,1,2,25-50,25,1140.091828,1.649396084,1.684841478,25,50,50,0.0162,0.167966667
2013,TCF,2,1,2,25-Oct,15,684.0550968,1.503626869,1.528748203,10,25,25,0.0434,0.486733333
2013,TCF,2,1,2,0-10,10,456.0367312,1.283001302,1.307390303,0,10,10,0.067133333,0.9695
2013,TCF,2,1,1,50-end,66,3009.842426,1.690876719,0.743375793,50,116,122,0.014066667,0.131933333
