year,treatment,replicate,station,core,section,horizon_length,total_bulk_density,
2001,T7,5,2,1,Deep,38,1.494164531,
2001,T7,5,1,2,Surface,19,1.249146153,moss
2001,T7,5,1,2,Middle,36,1.326911545,
2001,T7,5,1,2,Deep,45,1.474534305,
2001,T7,5,1,1,Surface,22,1.291788108,
2001,T7,5,1,1,Middle,32,1.265205477,
2001,T7,5,1,1,Deep,46,1.473343619,
2001,T7,4,5,2,Surface,24,1.107783077,
2001,T7,4,5,2,Middle,54,1.424351856,
2001,T7,4,5,2,Deep,22,1.494982288,
2001,T7,4,5,1,Surface,21,1.140609435,
2001,T7,4,5,1,Middle,41,1.341749506,
2001,T7,4,5,1,Deep,38,1.467196684,
2001,T7,4,4,2,Surface,23,1.221470461,
2001,T7,4,4,2,Middle,26,1.567781466,
2001,T7,4,4,2,Deep,51,1.466317618,
2001,T7,4,4,1,Surface,21,1.215448178,
2001,T7,4,4,1,Middle,30,1.330153487,
2001,T7,4,4,1,Deep,49,1.41236556,
2001,T7,4,3,2,Surface,23,1.182755786,
2001,T7,4,3,2,Middle,37,1.413426626,
2001,T7,4,3,2,Deep,40,1.428900339,
2001,T7,4,3,1,Surface,25,1.204127585,large root mass
2001,T7,4,3,1,Middle,39,1.400466166,
2001,T7,4,3,1,Deep,36,1.469688377,
2001,T7,4,2,2,Surface,25,1.233843282,
2001,T7,4,2,2,Middle,51,1.402969024,
2001,T7,4,2,2,Deep,24,1.566541159,
2001,T7,4,2,1,Surface,25,1.129333129,
2001,T7,4,2,1,Middle,43,1.430699442,
2001,T7,4,2,1,Deep,32,1.50744747,
2001,T7,4,1,2,Surface,23,1.238855871,
2001,T7,4,1,2,Middle,35,1.417805034,power failure/weighed after sitting at room temp. for 13 hrs.
2001,T7,4,1,2,Deep,42,1.482383283,
2001,T7,4,1,1,Surface,25,1.2611707,large root mass
2001,T7,4,1,1,Middle,37,1.340398864,
2001,T7,4,1,1,Deep,38,1.381012883,
2001,T7,3,5,2,Surface,20,1.222785724,fungal groth
2001,T7,3,5,2,Middle,47,1.39956888,
2001,T7,3,5,2,Deep,33,1.493253448,
2001,T7,3,5,1,Surface,11,1.175895793,
2001,T7,3,5,1,Middle,53,1.378154171,
2001,T7,3,5,1,Deep,36,1.562400822,
2001,T7,3,4,2,Surface,23,1.23679658,
2001,T7,3,4,2,Middle,47,1.412425177,
2001,T7,3,4,2,Deep,30,1.52378681,
2001,T7,3,4,1,Surface,11,0.946384099,fungal growth
2001,T7,3,4,1,Middle,89,1.379399896,
2001,T7,3,3,2,Surface,14,1.304180957,
2001,T7,3,3,2,Middle,34,1.330223162,
2001,T7,3,3,2,Deep,52,1.442724742,
2001,T7,3,3,1,Surface,15,1.050304837,
2001,T7,3,3,1,Middle,36,1.317895698,
2001,T7,3,3,1,Deep,49,1.47783877,
2001,T7,3,2,2,Surface,16,1.059097142,
2001,T7,3,2,2,Middle,66,1.403459879,
2001,T7,3,2,2,Deep,18,1.469995364,
2001,T7,3,2,1,Surface,21,1.184022741,"fungal growth , large root mass"
2001,T7,3,2,1,Middle,48,1.387478871,
2001,T7,3,2,1,Deep,31,1.473576784,
2001,T7,3,1,2,Surface,16,1.095786067,"fungal growth , large root mass"
2001,T7,3,1,2,Middle,59,1.375768742,
2001,T7,3,1,2,Deep,25,1.559384026,
2001,T7,3,1,1,Surface,22,1.16416708,fungal growth 
2001,T7,3,1,1,Middle,41,1.405337284,
2001,T7,3,1,1,Deep,37,1.505673732,
2001,T7,2,5,2,Surface,19,1.220879014,
2001,T7,2,5,2,Middle,33,1.45133551,
2001,T7,2,5,2,Deep,48,1.482685884,
2001,T7,2,5,1,Surface,22,1.17455317,changed Ap hor depth from 13 to 22 based on natural break (texture and color)/ fungi
2001,T7,2,5,1,Middle,32,1.284658681,
2001,T7,2,5,1,Deep,46,1.411268469,
2001,T7,2,4,2,Surface,19,1.083985085,fungi
2001,T7,2,4,2,Middle,20,1.321876322,
2001,T7,2,4,2,Deep,61,1.428566311,
2001,T7,2,4,1,Surface,19,1.257259169,
2001,T7,2,4,1,Middle,17,1.495542962,
2001,T7,2,4,1,Deep,64,1.412998156,
2001,T7,2,3,2,Surface,22,1.272790438,fungi
2001,T7,2,3,2,Middle,16,1.4708025,
2001,T7,2,3,2,Deep,62,1.488728743,
2001,T7,2,3,1,Surface,22,1.128520352,fungi
2001,T7,2,3,1,Middle,31,1.400316216,
2001,T7,2,3,1,Deep,47,1.452998552,
2001,T7,2,2,2,Surface,9,1.121990193,fungal growth
2001,T7,2,2,2,Middle,53,1.312398518,
